Designator,Footprint,Quantity,Value,LCSC Part #
A1,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Feed,
A2,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Coil,
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,100uF,
"C3, C4",1206,2,10uF, CL31B106KAHNNNE,
C5,1206,1,0.1uF, 1206B104K500CT,
"D1, D2",0603,2,LED, 
F1,1206,1,4.5A,
J1,CUI_PJ-037A,1,Barrel_Jack,
L1,L_TracoPower_TCK-141,1,5.6uH,
LCD1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,~,
"M1, M2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Stepper_Motor_bipolar,
"R1, R2",1206,2,10K,
"R3, R4",0603,2,1K,
RE1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,~,
"SW1, SW2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Limit_Switch,
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_SPST,
U1,Teensy41-Pins-Only_Silkscreen,1,Teensy4.1,
U3,SOT-223,1,LM7805_TO220,
