Designator,Footprint,Quantity,Value,LCSC Part #,Digikey Links,Quantity,Additional Notes
A1,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Feed,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC081LFBN-RC/810147,0,
A2,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Coil,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC081LFBN-RC/810147,0,
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,100uF,,,4,
"C3, C4",1206,2,10uF,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B106KAHNNNE/3887462,4,
C5,1206,1,0.1uF,,https://www.digikey.com/en/products/detail/walsin-technology-corporation/1206B104K500CT/9355102,2,
"D1, D2",0603,2,LED,,,4,
F1,1206,1,4.5A,,,2,
J1,CUI_PJ-037A,1,Barrel_Jack,,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PJ-037A/1644545,2,
L1,L_TracoPower_TCK-141,1,5.6uH,,https://www.digikey.com/en/products/detail/traco-power/TCK-141/9382093,2,
LCD1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,~,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,0,
"M1, M2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Stepper_Motor_bipolar,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,0,
"R1, R2",1206,2,10K,,https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483?s=N4IgTCBcDaIEoGECMYAMA2AYnAtKg7EqgNIAyIAugL5A,4,
"R3, R4",0603,2,1K,,https://www.digikey.com/en/products/detail/yageo/RC1206FR-071KL/728387,4,
RE1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,~,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B5B-XH-A/1530483,0,
"SW1, SW2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Limit_Switch,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A/1651046,0,https://www.amazon.com/HiLetgo-KW12-3-Roller-Switch-Normally/dp/B07X142VGC?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A30QSGOJR8LMXA
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_SPST,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-A/1651045,2,https://www.amazon.com/ZUPAYIPA-Solder-Rocker-Switch-Toggle/dp/B01N2U8PK0/ref=sr_1_4?crid=VWO2L7WC3Y7P&dib=eyJ2IjoiMSJ9.U0fhJJM51L1p9MXVyTbRKlVmNPo96ctEGIFyGuEveyO2NZlKkrOUSxvm0I0bJTrJt77LiicoZHoSv7ym5KSMaGkpX9pctJg0wbuLRtPIehNx23Corjuo0rSum8PuwetoiHSAbpycsKN2L0bt7nQam0I42WYB05xWOor2JMnICw-NHFqvGcKLv_9qGKr8bvy0nrFQ5hHXiRLygMF8ZFzTVZmumNA9h6qFT1EEsuZtTi_YOdBXPmwT7tfuUZrZ99qGjeS_zGDQvM0SrC3EvHECHYWExCmRv-vabKTBr__dlPP1WxfESjce-fAxYakh99xGImNYKl9NWCVEQZ46KlieebGaSjICG9-YU4kK3Ym0h6M.vLwCluiudh3GhM9e0CRcUCS_CjHnv6sUOagZNeWC0jM&dib_tag=se&keywords=rocker+switch&qid=1741571847&rnid=2941120011&s=industrial&sprefix=rocker+%2Caps%2C203&sr=1-4
U1,Teensy41-Pins-Only_Silkscreen,1,Teensy4.1,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC241LFBN-RC/810162,4,
U3,SOT-223,1,LM7805_TO220,,https://www.digikey.com/en/products/detail/texas-instruments/LM340MPX-5-0-NOPB/367021,2,
