Designator,Footprint,Quantity,Value,LCSC Part #,Links,Actual Quantity
A1,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Feed,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC081LFBN-RC/810147,2
A2,Pololu_Breakout-16_15.2x20.3mm,1,DRV8825_Coil,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC081LFBN-RC/810147,2
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,100uF,,,0
C4,1206,1,0.22uF,,,2
C5,1206,1,0.1uF,,https://www.digikey.com/en/products/detail/walsin-technology-corporation/1206B104K500CT/9355102,2
"D1, D2",0603,2,LED,,https://www.digikey.com/en/products/detail/xinglight/XL-1608UGC-04/25673031,4
F1,1206,1,4.5A,,,0
J1,CUI_PJ-037A,1,Barrel_Jack,,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PJ-037A/1644545,2
LCD1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,~,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,2
"M1, M2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Stepper_Motor_bipolar,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,2
"R1, R2",1206,2,10K,,https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483?s=N4IgTCBcDaIEoGECMYAMA2AYnAtKg7EqgNIAyIAugL5A,4
"R3, R4",0603,2,1K,,https://www.digikey.com/en/products/detail/yageo/RC1206FR-071KL/728387,4
RE1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,~,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B5B-XH-A/1530483,2
"SW1, SW2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Limit_Switch,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A/1651046,4
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_SPST,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-A/1651045,2
U1,Teensy41-Pins-Only_Silkscreen,1,Teensy4.1,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC241LFBN-RC/810162,4
U3,SOT-223,1,LM7805_TO220,,https://www.digikey.com/en/products/detail/texas-instruments/LM340MPX-5-0-NOPB/367021,2
